10
2,3,4,8,9,10
1,3,4,5,9,10
4,5,6,1,2,10
1,2,3,5,6,7
2,3,4,6,7,8
3,4,5,7,8,9
4,5,6,8,9,10
5,6,7,1,9,10
1,2,6,7,8,10
1,2,3,7,8,9
10
2,6,7,5,9,10
1,6,10,3,7,8
2,6,7,4,8,9
3,7,8,5,9,10
4,8,9,1,6,10
2,3,7,1,5,10
1,2,6,3,4,8
2,3,7,4,5,9
3,4,8,1,5,10
1,2,6,4,5,9
10
5,7,9,4,6,10
3,5,8,4,6,10
5,7,9,2,6,8
1,7,10,2,6,8
1,7,9,2,3,8
1,4,10,2,3,8
3,5,9,1,4,10
2,4,6,3,5,9
3,5,8,1,7,10
1,7,9,2,4,6
10
2,7,10,5,6,9
1,7,10,3,6,8
2,6,8,4,7,9
5,8,10,3,7,9
1,6,9,4,8,10
1,5,9,2,3,8
1,2,10,3,4,9
2,3,6,4,5,10
1,5,6,3,4,7
1,2,7,4,5,8
